azithromycin,ototoxicity
furosemide,pancreatitis
Torsemide,pancreatitis
Heparin,massive thrombosis of the inferior vena cava
heparin,IVC thrombosis
heparin,thrombosis syndrome
heparin,thrombosis
prostaglandin E1,gastric-outlet obstruction
prostaglandin E1,antral hyperplasia
cisplatin,RPLS
cyclosporine,RPLS
interferon-alpha,RPLS
tacrolimus,RPLS
cyclosporine,Reversible posterior leukoencephalopathy syndrome
cyclosporine,headache
cyclosporine,seizure
cyclosporine,severe perspiration
lopinavir,mania
ritonavir,mania
valproic acid,mania
VPA,mania
lopinavir,bipolar disorder
ritonavir,bipolar disorder
valproic Acid,bipolar disorder
triamcinolone acetonide,cataract
interferon-beta,Arthritis
interferon-beta,bursitis
IFN-beta,inflammatory arthritis
IFN-beta,monoarthritis
IFN-beta,autoimmune disorders
IFN-beta,autoimmune thyroid disease
IFN-beta,refractory pre-patellar bursitis
IFN-beta,inflammatory musculoskeletal manifestations
Trimethoprim-sulfamethoxazole,aseptic meningitis
SMX,meningitis
sulfamethoxazole,meningitis
TMP,meningitis
trimethoprim,meningitis
SMX,aseptic meningitis
TMP,aseptic meningitis
corticosteroid,disseminated nocardiosis
Chloroquine,bilateral ptosis
chloroquine,Ptosis
MTX,central neurological syndrome
methotrexate,stroke-like leukoencephalopathy
MTX,stroke-like leukoencephalopathy
MTX,subacute neurotoxicity
lithium,ARDS
L-dopa,dyskinesias
levodopa,dyskinesia
triazolam,eating disorder
Triazolam,amnesia
Triazolam,nocturnal bingeing
interferon alpha,sarcoidosis
interferon alpha 2b,sarcoidosis
irinotecan,Neutropenic colitis
nedaplatin,Neutropenic colitis
cinacalcet HCl,severe hypercalcemia
ifosfamide,NCSE
ifosfamide,neurotoxicity
ifosfamide,Nonconvulsive status epilepticus
gelatine,anaphylaxis
BCG,Cutaneous mycobacterial infection
BCG,Disseminated tuberculous lesions
HCQ,hypersensitivity rash
sumatriptan,symptomatic cerebral vasospasm
risperidone,diabetic ketoacidosis
SMX,atypical lymphocytosis
sulfamethoxazole,atypical lymphocytosis
TMP,atypical lymphocytosis
trimethoprim,atypical lymphocytosis
SMX,cervical lymphadenopathy
sulfamethoxazole,cervical lymphadenopathy
TMP,cervical lymphadenopathy
trimethoprim,cervical lymphadenopathy
SMX,eosinophilia
sulfamethoxazole,eosinophilia
TMP,eosinophilia
trimethoprim,eosinophilia
SMX,fever
sulfamethoxazole,fever
TMP,fever
trimethoprim,fever
SMX,hepatosplenomegaly
sulfamethoxazole,hepatosplenomegaly
TMP,hepatosplenomegaly
trimethoprim,hepatosplenomegaly
SMX,skin eruptions
sulfamethoxazole,skin eruptions
TMP,skin eruptions
trimethoprim,skin eruptions
TMP-SMX,hypersensitivity syndrome
Trimethoprim-sulfamethoxazole,hypersensitivity syndrome
corticosteroid,glaucoma
triamcinolone acetate,glaucoma
triamcinolone,severe vision loss
triamcinolone,visual field defects
steroid,glaucoma
triamcinolone acetonide,glaucoma
corticosteroid,severe vision loss
IFN-alpha,Autoimmune thyroid disease
interferon-alpha,Autoimmune thyroid disease
IFN-alpha,Graves' hyperthyroidism
IFN-alpha,thyrotoxicosis
IFN-alpha,hyperthyroidism
Interferon-alpha,hyperthyroidism
IFN-alpha,hyperthryroidism
ribavirin,hyperthryroidism
IFN-alpha,thyroiditis
ribavirin,thyroiditis
Dipyrone,agranulocytosis
Dipyrone,granulocytopenia
efalizumab,CD8+ cutaneous lymphoproliferative disorders
infliximab,CD8+ cutaneous lymphoproliferative disorders
pyrimethamine,abdominal pain
sulfadiazine,abdominal pain
pyrimethamine,fever
sulfadiazine,fever
pyrimethamine,severe cutaneous involvement
sulfadiazine,severe cutaneous involvement
pyrimethamine,swelling
sulfadiazine,swelling
pyrimethamine,transaminitis
sulfadiazine,transaminitis
sulfadiazine,hypersensitivity
carboplatin,Fatal lung fibrosis
paclitaxel,Fatal lung fibrosis
paclitaxel,Fatal pulmonary fibrosis
paclitaxel,lung fibrosis
paclitaxel,pneumonitis
paclitaxel,Pulmonary fibrosis
anti-TNF-alpha,Infections
infliximab,subfulminant hepatitis B
phenol,Acute unilateral total visual loss
phenol,neurotoxicity
phenol,visual loss
IFN-beta,liver injury
interferon-beta,liver injury
IFN beta,Grade 3 hepatotoxicity
IFN beta,hepatotoxicity
Interferon-beta,hepatotoxicity
IFN beta,hepatitis
IFN beta,liver injury
cloxacillin,acute urticaria
cloxacillin,labial angioedema
cloxacillin,Allergy
cloxacillin,hypersensitivity
cloxacillin,IgE-mediated allergic reactions
BCNU,Cardiac toxicity
carmustine,Myocardial ischemia
BCNU,myocardial ischemia
zafirlukast,hypereosinophilia
pegfilgrastim,edema
pegfilgrastim,pain in his right forearm
pegfilgrastim,rapidly progressive erythema
statin,myasthenic syndrome
Statin,myasthenia gravis
azathioprine,Reactivation of cytomegalovirus
HCQ,ventricular tachycardia
hydroxychloroquine,QT prolongation
hydroxychloroquine,refractory ventricular arrhythmia
HCQ,cardiac arrhythmias
HCQ,torsade de pointes
metformin,lactic acidosis
metformin,Severe acidosis
olanzapine,diabetes
olanzapine,weight gain
olanzapine,uncontrolled diabetes mellitus
olanzapine,uncontrolled diabetes
LASIK,Enterobacter keratitis
LASIK,traumatic flap dehiscence
LASIK,Traumatic late flap dehiscence
docetaxel,BOOP
gemcitabine,BOOP
docetaxel,progression of the tumor
gemcitabine,progression of the tumor
docetaxel,severe respiratory insufficiency
gemcitabine,severe respiratory insufficiency
warfarin,bloody tears
warfarin,sub-conjunctival haematoma
warfarin,diplopia
warfarin,discomfort
warfarin,haematoma
warfarin,lagophthalmos
carbamazepine,Angioedema
carbamazepine,maculopapular eruptions
carbamazepine,Cutaneous eruptions
carbamazepine,Cutaneous rashes
carbamazepine,eruptions
carbamazepine,maculopapular rash
infliximab,AVP
infliximab,Severe adenovirus pneumonia
infliximab,severe AVP
ivermectin,severe hepatitis
ivermectin,severe liver disease
gemcitabine,radiation recall dermatitis
Gemcitabine,rectus abdominus radiation recall
simvastatin,Sporadic rippling muscle disease
simvastatin,rippling muscle disease
simvastatin,RMD
capecitabine,Acute coronary syndrome
carbamazepine,coma
carbamazepine,respiratory depression
carbamazepine,seizures
pegvisomant,hepatic enzyme disturbances
pegvisomant,hepatitis
octreotide,hepatitis
AmB,anaemia
Amphotericin B,anaemia
AmB,fever
Amphotericin B,fever
AmB,hypokalaemia
Amphotericin B,hypokalaemia
AmB,malaise
Amphotericin B,malaise
AmB,renal impairment
Amphotericin B,renal impairment
temozolomide,brain abscess with Listeria monocytogenes
temozolomide,cutaneous Kaposi's sarcoma
temozolomide,immunosuppression
temozolomide,infections with Pneumocystis jiroveci pneumonia
temozolomide,T-cell lymphocytopenia
temozolomide,Kaposi's sarcoma
temozolomide,Listeria brain abscess
temozolomide,Pneumocystis pneumonia
mannitol,angle-closure glaucoma
methylprednisolone,angle-closure glaucoma
sumatriptan,Spontaneous splenic infarction
triptan,myocardial infarction
triptan,stroke
methylprednisolone,Acute myocardial infarction
radioiodine,hypothyroidism
methylprednisolone,myocardial infarction
methylprednisolone,severe hypertension
glucocorticoids,myocardial infarction
SASP,psoriasis-like skin reaction
sulphasalazine,psoriasis-like skin reaction
vincristine,bilateral ptosis
Vincristine,cranial polyneuropathy
morphine,Acute generalized exanthematous pustulosis
Morphine,facial flushing
Morphine,hyperhidrosis
erlotinib,skin manifestations
benzoyl peroxide,Allergic contact angioedema
BP,severe angioedematous reaction
5-fluorouracil,acute confusional state
caffeine,suicide attempt
dapsone,hypersensitivity syndrome
diamorphine,Anaphylaxis
aprotinin,systemic allergic reaction
carbamazepine,NMS
divalproex sodium,NMS
topiramate,NMS
venlafaxine,NMS
carbamazepine,SS
divalproex sodium,SS
risperidone,SS
topiramate,SS
venlafaxine,SS
phenytoin,Fever
phenytoin,maculopapular rashes
lamotrigine,Localized purpura
lisinopril,Acute renal failure
losartan,Acute renal failure
lisinopril,hypotension
losartan,hypotension
5-fluorouracil,Reversible corneal keratinization
rituximab,Bronchiolitis obliterans with organizing pneumonia
rituximab,BOOP
thrombin,severe arterial thrombotic events
thrombin,arterial thrombosis
oxaliplatin,hemolytic and/or thrombocytopenic reactions
oxaliplatin,Hemolytic uremic syndrome
5-fluorouracil,hemolytic-uremic syndrome
leucovorin,hemolytic-uremic syndrome
oxaliplatin,hemolytic-uremic syndrome
Zyprexa,agranulocytosis
olanzapine,neutropenia
Zyprexa,neutropenia
phenothiazines,agranulocytosis
phenothiazines,Neutropenia
thiazide,neutropenia
olanzapine,severe neutropenia
olanzapine,camptocormia
olanzapine,mild parkinsonian signs
mirtazapine,symptomatic hyponatremia
citalopram,hyponatremia
mirtazapine,hyponatremia
citalopram,Recurrent hyponatremia
mirtazapine,Recurrent hyponatremia
interferon (IFN)-beta-1b,nephrotic syndrome
IFN,nephrotic syndrome
interferon-beta-1b,Nephrotic syndrome
IFN-beta-1b,nephrotic syndrome
IFN-beta-1b,proteinuria
homochlorcyclizine hydrochloride,dyspnea
calcium stearate,Acute eosinophilic pneumonia
calcium stearate,pulmonary disease
zoledronic acid,Scleritis
zoledronic acid,severe unilateral posterior scleritis
rituximab,hepatitis B virus reactivation
rituximab,HBV reactivations
rituximab,HBV reactivation
azathioprine,cryptococcal meningitis
prednisolone,cryptococcal meningitis
doxorubicin,intertrigo-like eruption
PLD,eruption
PLD,erosions in the axilla and groin
PLD,erythema
warfarin,skin necrosis
indomethacin,premature closure of the ductus arteriosus
indomethacin,Hypoxia
indomethacin,premature ductal closure
indomethacin,ductal closure
moxifloxacin,corneal ulcers
fluoroquinolone,Severe corneal toxicity
nimesulide,Acute generalized exanthematous pustulosis
nimesulide,AGEP
Amphotericin B deoxycholate,bradycardia
Amphotericin B deoxycholate,cardiac toxicity
Amphotericin B deoxycholate,ventricular arrhythmias
amphotericin B,fatal cardiac arrhythmia
benfluorex,valvular heart disease
Lp-TAE,liver dysfunction
Lp-TAE,localized pain
Lp-TAE,low-grade fever
Lp-TAE,myelo-suppression
Tacrolimus,acute renal failure
Tacrolimus,HUS
tacrolimus,ARF
nevirapine,fulminant hepatitis
Viramune,fulminant hepatitis
cyclosporin,Cholelithiasis
cyclosporin,thrombosis of the central retinal vein
azathioprine,thrombosis
cyclosporin,thrombosis
prednisone,thrombosis
cyproterone acetate,Hepatotoxicity
CPA,severe hepatotoxic reactions
CS,cutaneous leishmaniasis
corticosteroid,Leishmania infantum leishmaniasis
CS,Leishmania infantum leishmaniasis
corticosteroid,lingual leishmaniasis
CS,lingual leishmaniasis
Ritalin,glaucoma
methylphenidate,cataract
methylphenidate,glaucoma
Ritalin,cataract
Avastin,CBS
Avastin,Charles-Bonnet syndrome
Avastin,transient structured visual hallucinations
bevacizumab,Visual hallucinations
metoclopramide,oculogyric crisis
cyclosporine,nephrotoxicity
Quinapril,prolonged hypotension
Quinapril,transient renal impairment
actinomycin-D,Cardiomyopathy
adriamycin,Cardiomyopathy
mithramycin,Cardiomyopathy
actinomycin-D,Exacerbations of the heart failure
mithramycin,Exacerbations of the heart failure
NSC-24559,Exacerbations of the heart failure
NSC-3053,Exacerbations of the heart failure
mesalazine,Cardiac hypersensitivity
mesalazine,myopericarditis
mesalazine,pericarditis
erlotinib,hepatitis
erlotinib,acute severe hepatitis
gefitinib,Acute severe hepatitis
erlotinib,Hepatotoxicity
Cialis,fixed drug eruption
tadalafil,fixed drug eruption
docetaxel,pulmonary toxicity
docetaxel,Fatal interstitial pneumonitis
docetaxel,subacute interstitial pneumonitis-related pulmonary fibrosis
sulfamethoxazole,fulminant microangiopathic hemolytic anemia
trimethoprim,fulminant microangiopathic hemolytic anemia
sulfamethoxazole,thrombocytopenia
trimethoprim,thrombocytopenia
sulfamethoxazole,Thrombotic thrombocytopenic purpura
trimethoprim,Thrombotic thrombocytopenic purpura
valproic acid,Juvenile absence epilepsy
paradoxical,seizure exacerbation
valproic acid,seizure exacerbation
Avastin,Acute endophthalmitis
bevacizumab,Acute endophthalmitis
bevacizumab,Infectious endophthalmitis
bevacizumab,age-related macular degeneration
bevacizumab,painless infectious endophthalmitis
lithium,Pulmonary hypertension
infliximab,arthritis
perospirone hydrochloride,circulatory collapse
perospirone hydrochloride,deep coma
perospirone hydrochloride,diabetic ketoacidosis
imatinib,Fatal venous thrombembolism
imatinib,deep vein thrombosis
cisplatin,status epilepticus
gemcitabine,status epilepticus
methadone,fluctuation of the QT interval
methadone,prolonged QT
fluvoxamine maleate,piloerection
milnacipran hydrochloride,piloerection
fluvoxamine,piloerection
milnacipran,piloerection
tobramycin,recurrent eosinophilia
tobramycin,severe persistent bronchospasm
tobramycin,deterioration of pulmonary function
bisphosphonate,osteonecrosis of the mandible
amiodarone,aggravation of arrhythmia
amiodarone,hepatotoxicity
amiodarone,pulmonary toxicity
amiodarone,thyroid diseases
amiodarone,Pancreatitis
amiodarone,acute pancreatitis
etanercept,tuberculous uveitis
pemetrexed,melanonychia
pemetrexed,onycholysis
Infliximab,osteomyelitis
citalopram,serotonin syndrome
fentanyl,serotonin syndrome
citalopram,agitation
fentanyl,agitation
citalopram,confusion
fentanyl,confusion
citalopram,myoclonic jerks
fentanyl,myoclonic jerks
citalopram,tachycardia
fentanyl,tachycardia
citalopram,tremors
fentanyl,tremors
citalopram,unsteady gait
fentanyl,unsteady gait
methotrexate,Renal failure
HDMTX,renal failure
Docetaxel,Meibomian duct inflammation and blockage
Docetaxel,chalazion
docetaxel,eye irritation and dryness
gemcitabine,recall pneumonitis
gemcitabine,dry cough
gemcitabine,dyspnea
gemcitabine,subfebrile temperatures
gemcitabine,Radiation recall pneumonitis
vancomycin,neutropenia
teicoplanin,neutropenia
Teicoplanin,agranulocytosis
pentamidine,Cutaneous ulceration
pentamidine,chemical cellulitis
pentamidine,ulceration
peginterferon alfa-2a,disfiguring facial edema
ribavirin,disfiguring facial edema
interferon alpha 2-beta,Tumor-volume increase
Flecainide,cardiovascular collapse
Ezetimibe,acute pancreatitis
ezetimibe,pancreatitis
raloxifene,aggravation of nonalcoholic steatohepatitis
raloxifene,NASH
Danazol,liver damage
danazol,Hepatic damage
lenalidomide,Hypersensitivity pneumonitis-like syndrome
lenalidomide,diffuse pulmonary infiltrates
lenalidomide,dyspnea
lenalidomide,fever
lenalidomide,hypoxia
thalidomide,fever
thalidomide,pulmonary infiltrates
triamcinolone,exacerbation of retinochoroiditis
ethambutol,rapid cognitive decline
Ethambutol,acute onset psychosis
interferon-alpha,Psoriasis
Recombinant human interferon-alpha,exacerbate psoriasis or trigger off its onset
sulfamethoxazole,generalized erythema
trimethoprim,generalized erythema
sodium valproic acid,raised intracranial pressure
VPA,raised intracranial pressure
sodium valproic acid,severe cerebral swelling
VPA,severe cerebral swelling
valproic acid,raised intracranial pressure
Bleomycin,hyperpigmentation
bleomycin,skin toxicity
bleomycin,localized pigmentation
cisplatin,localized pigmentation
etoposide,localized pigmentation
capecitabine,headache
capecitabine,Headaches
5-FU,headaches
lithium,Brugada type electrocardiographic changes
propafenone,Brugada type electrocardiographic changes
propafenone,ST elevation in right precordial leads
propafenone,type 1 Brugada syndrome
dexamethasone,gastritis
doxorubicin,mucositis
Bortezomib,gastrointestinal side effect
Bortezomib,paralytic ileus
bortezomib,severe paralytic ileus
phenelzine,delusional parasitosis
rituximab,alveolar hemorrhage
rituximab,Interstitial pneumonitis
rituximab,delayed pulmonary toxicity
metoclopramide,neuroleptic malignant syndrome
PGE1,gastric mucosa foveolar hyperplasia
colchicine,fatigue
colchicine,leg weakness
colchicine,myalgia
colchicine,rhabdomyolysis
colchicine,rhabdomylysis
5-Fluorouracil,cardiotoxicity
Acetic acid,vagina bleeding
interferon-gamma,systemic lupus erythematosus
recombinant human interferon gamma,SLE
rIFN-gamma,SLE
recombinant human interferon gamma,systemic lupus erythematosus
rIFN-gamma,systemic lupus erythematosus
Bisphosphonate,osteochemonecrosis of the jaw
Clozapine,eosinophilia
MMF,red blood cell anemia
prednisone,red blood cell anemia
mycophenolate mofetil,Red blood cell anemia
MMF,anemia
cyclosporine,anemia
prednisone,anemia
oxcarbazepine,angioedema
oxcarbazepine,angioneurotic edema
azathioprine,VOD
tacrolimus,hepatic VOD
Carbamazepine,hypersensitivity syndrome
etoposide,pulmonary toxicity
L-tryptophan,eosinophilia-myalgia syndrome
RFP,hypothyroidism
Rifampin,hypothyroidism
RFP,Hashimoto's thyroiditis
Rifampin,Hashimoto's thyroiditis
nabumetone,pulmonary fibrosis
Cyclosporine,rhabdomyolysis
simvastatin,rhabdomyolysis
interferon alpha,Generalized lichen nitidus
ribavirin,generalized lichen nitidus
interferon alpha,lichen nitidus
clopidogrel,Sirolimus-eluting stent thrombosis
ATRA,teratogenic effect
gefitinib,ILD
gefitinib,Interstitial lung disease
erlotinib,Pulmonary toxicity
erlotinib,pulmonary fibrosis
erlotinib,ILD
erlotinib,fatal pulmonary toxicity
fluoroquinolone,torsade de pointes
moxifloxacin,Torsade de pointes
Glypressin,skin necrosis
terlipressin,skin necrosis
statin,myopathy
colchicine,muscle weakness
simvastatin,muscle weakness
statin,muscle weakness
colchicine,acute weakness
simvastatin,acute weakness
simvastatin,mild chronic renal insufficiency
methotrexate,Pneumocystis carinii pneumonia
methotrexate,fever
methotrexate,hypoxia
methotrexate,Pneumocystis pneumonia
methotrexate,pulmonary infiltrates
desferrioxamine,unilateral hearing loss
leflunomide,abdominal sepsis
leflunomide,cellulitis
leflunomide,disseminated herpes zoster
leflunomide,gastroenteritis
leflunomide,infection
leflunomide,lower respiratory tract infections
leflunomide,mycotic aneurysm
leflunomide,TB liver
Leflunomide,infections
leflunomide,severe infections
sulfasalazine,fever
sulfasalazine,leukocytopenia
sulfasalazine,skin eruptions
sulfasalazine,thrombocytopenia
Sulfasalazine,hemophagocytic syndrome
Sulfasalazine,hypersensitivity syndrome
carbamazepine,status migrainosus
CBZ,status migrainosus
OXC,status migrainosus
oxcarbazepine,status migrainosus
oxcarbazepine,headache
dobutamine,myoclonic muscle spasms
dobutamine,Myoclonus
calcium polystyrene sulfonate,colonic perforation
sorbitol,colonic perforation
calcium polystyrene sulfonate,colonic ulcer
sorbitol,colonic ulcer
calcium polystyrene sulfonate,sigmoidovesical fistula
sorbitol,sigmoidovesical fistula
efavirenz,Psychosis
infliximab,Mycobacterium marinum infection
adenosine,Sustained monomorphic ventricular tachycardia
clozapine,tardive OGC
clozapine,Tardive oculogyric crisis
Metronidazole,neuropathy
metronidazole,sensory neuropathy
methotrexate,infection with both M. tuberculosis and M. chelonae
thalidomide,Sustained ventricular tachycardia
thalidomide,Multiple syncopal episodes
glatiramer acetate,ECM
glatiramer acetate,Embolia cutis medicamentosa
glatiramer acetate,skin necrosis
amiodarone,hypothyroidism
Amiodarone,thyroid dysfunction
quetiapine,leucocytopenia
quetiapine,thrombocytopenia
Amphotericin B,cutaneous leucocytoclastic vasculitis
amphotericin B,Palpable purpuric skin lesions
5-FU,cardiotoxicity
5-fluorouracil,Transient asymptomatic bradycardia
5-FU,transient asymptomatic bradycardia
methotrexate,papular eruption
methotrexate,diffuse papular eruption
methotrexate,cutaneous vasculitis
methotrexate,diffuse pruritic papular eruption
acetazolamide,Metabolic acidosis
acetylsalicylic acid,Pericardial hemorrhage
nelfinavir,cutaneous rash
indinavir,fever
efavirenz,nausea
indinavir,renal colic
efavirenz,temporary memory loss
methotrexate,sub-acute neurotoxicity
methotrexate,sub-acute toxic leukoencephalopathy
methotrexate,sub-acute leukoencephalopathy
etanercept,CD
etanercept,immune-mediated injury
etanercept,Crohn's disease
aspirin,Upper gastrointestinal haemorrhage
clopidogrel,Upper gastrointestinal haemorrhage
doxorubicin,breathing distress
doxorubicin,thoracic pain
cyproterone acetate,Severe hepatocellular dysfunction
CPA,fatal fulminant hepatitis
CPA,severe hepatocellular damage
acyclovir,VZV antigen-positive zoster
temozolomide,fever
temozolomide,exfoliative rash
temozolomide,rash
Temozolomide,desquamative skin rash
tobramycin sulfate,Exfoliative dermatitis
tobramycin,exfoliative dermatitis
Rituximab-CHOP,interstitial pneumonitis
Phenytoin,cerebellar syndrome
trastuzumab,pneumonitis
trastuzumab,plural effusion dyspnoea
trastuzumab,pulmonary infiltrates
trastuzumab,interstitial lung disease
4-chloro-7-nitrobenzofurazan,acute allergic contact dermatitis
NBD-Cl,acute allergic contact dermatitis
4-chloro-7-nitrobenzofurazan,Allergic contact dermatitis
aripiprazole,Photo-onycholysis
olanzapine,Photo-onycholysis
leflunomide,Diffuse alveolar hemorrhage
leflunomide,hemoptysis
leflunomide,severe weakness
leflunomide,short-of-breath
carbamazepine,Hyponatraemia
carbamazepine,antidiuresis
cyclosporine,severe systemic CMV infection
imatinib,hepatotoxicity
Imatinib mesylate,fatal acute hepatic failure
imatinib,acute liver failure
imatinib,herpetic rash
olanzapine,hyperglycemia
pegylated interferon alpha-2a,Adult respiratory distress syndrome
ribavirin,Adult respiratory distress syndrome
pegIFNalpha-2a,adult respiratory distress syndrome
pegIFNalpha-2a,ARDS
pegylated interferon alpha-2a,ARDS
ribavirin,ARDS
clomiphene citrate,Bilateral anterior uveitis
atomoxetine,tics
alpha-2b peginterferon,type 1 diabetes mellitus
ribavirin,type 1 diabetes mellitus
recombinant alpha-2b peginterferon,type 1 diabetes mellitus
peginterferon alpha-2b,Type 1 diabetes mellitus
ranibizumab,ocular hypertension
ranibizumab,sustained ocular hypertension
ranibizumab,Persisent ocular hypertension
dextroamphetamine,peripheral vasculopathy
Methylphenidate,peripheral vasculopathy
dextroamphetamine,acral cyanosis
methylphenidate,acral cyanosis
dextroamphetamine,livedo reticularis
methylphenidate,livedo reticularis
dextroamphetamine,Raynaud phenomenon
methylphenidate,Raynaud phenomenon
efalizumab,Disseminated eruptive giant mollusca contagiosa
efalizumab,eruptive mollusca contagiosa
tamoxifen,cervical adenocarcinoma
tamoxifen,Gastric tumor
pegaptanib,Incomplete posterior hyaloid detachment
Enalaprilat,acute parotitis
enalaprilat,acute bilateral parotitis
oxybutynin,acute bilateral blindness
oxybutynin,focal seizure
oxybutynin,hypertension
sibutramine,Severe symptomatic hyponatremia
sibutramine,hypertension
sibutramine,tachycardia
sibutramine,hyponatremia
pregabalin,cortical negative myoclonus
pregabalin,negative myoclonus
Muzolimine,severe neuromyeloencephalopathy
muzolimine,fatal neuromyeloencephalopathy
L-asparaginase,posterior reversible encephalopathy
L-asparaginase,posterior reversible encephalopathy syndrome
L-asparaginase,PRES
L-asparaginase,altered sensorium
Anastrozole,sclerosing glomerulonephritis
anastrozole,Renal injury
anastrozole,decrease in both lumbar spine
anastrozole,increase in the cholesterol level
anastrozole,increase in the incidence of all bone fractures
anastrozole,joint disorders
anastrozole,acute renal failure
itraconazole,acute hepatitis
itraconazole,severe and irreversible hepatotoxic events
itraconazole,Fatal hepatitis
itraconazole,acute cytolytic hepatitis
itraconazole,hepatitis
itraconazole,severe symptomatic hepatitis
baclofen,impair sexual function
baclofen,sexual dysfunction
recombinant insulin-like growth factor-I,Anaphylactic reaction
Increlex,anaphylaxis
olanzapine,RLS
olanzapine,periodic limb movements during sleep
olanzapine,Restless legs syndrome
olanzapine,agitation
olanzapine,paraesthesia
olanzapine,RLS symptoms
olanzapine,PLMS
olanzapine,akathisia
risperidone,akathisia
risperidone,RLS
Alendronate,nodular scleritis
Alendronate,scleritis
alendronate sodium,nodular scleritis
alendronate sodium,scleritis
ciprofloxacin,prolonged ECT seizure
cefotiam,tardive seizures
piperacillin,tardive seizures
levofloxacin,Acute delirium
gatifloxacin,dizziness
grepafloxacin,dizziness
levofloxacin,dizziness
moxifloxacin,dizziness
sparfloxacin,dizziness
trovafloxacin,dizziness
gatifloxacin,headache
grepafloxacin,headache
levofloxacin,headache
moxifloxacin,headache
sparfloxacin,headache
trovafloxacin,headache
gatifloxacin,insomnia
grepafloxacin,insomnia
levofloxacin,insomnia
moxifloxacin,insomnia
sparfloxacin,insomnia
trovafloxacin,insomnia
levofloxacin,delirium with psychotic features
levofloxacin,acute-onset delirium with psychotic features
Copaxone,Crohn's disease
Copaxone,long-term immunosuppression
Copaxone,gastrointestinal symptoms
ketoconazole,obsessional-like suicidal ideas and images
terlipressin,prolonged QT interval
terlipressin,torsade de pointes
Terlipressin,ventricular arrhythmia
bevacizumab,Spontaneous nasal septal perforation
VRC,angio-oedema
voriconazole,Angio-oedema
bupropion,Multiple seizures
bupropion,agitation
bupropion,hallucinations
bupropion,seizures
bupropion,tachycardia
bupropion,vomiting
Methylphenidate,enuresis
Cephalosporin,leukopenia
Cefazolin,leukopenia
PRES,cyclosporine
PRES,Posterior reversible encephalopathy syndrome
CSA,PRES
cyclosporine,PRES
warfarin,Stuttering priapism
Warfarin,priapism
Warfarin,stuttering
bleomycin,pulmonary fibrosis
propafenone,mild cognitive impairment
citalopram,coronary artery disease
propafenone,coronary artery disease
citalopram,dizziness
citalopram,falls
propafenone,falls
citalopram,chest tightness
vancomycin,neurologic symptoms
piperacillin,neuralgic amyotrophy
tazobactam,neuralgic amyotrophy
tobramycin,neuralgic amyotrophy
vancomycin,neuralgic amyotrophy
methylprednisolone,Seizures
methylprednisolone,transient blindness
Hydroxyurea,mucocutaneous adverse events
Hydroxyurea,nail hyperpigmentation
hydroxyurea,myeloproliferative disorder
hydroxyurea,longitudinal melanonychia
hydroxyurea,multiple skin cancers
hydroxyurea,nail changes
Hydroxyurea,diffuse longitudinal melanonychia
Hydroxyurea,multiple squamous cell carcinomas
hydroxyurea,diffuse nail hyperpigmentation
hydroxyurea,painful hand ulcer
hydroxyurea,skin cancers
ciprofloxacin,VBDS
ciprofloxacin,Stevens-Johnson syndrome
ciprofloxacin,Vanishing bile duct
ciprofloxacin,SJS
aspirin,intracranial bleeding
clopidogrel,intracranial bleeding
temozolomide,Disseminated salmonellosis
Ceftriaxone,fixed drug eruption
cephalosporins,FDE
ceftriaxone,FDE
gabapentin,renal impairment
Gabapentin,renal failure
gabapentin,acute renal failure
triamcinolone acetonide,Acute syphilitic posterior placoid chorioretinitis
IVTA,acute syphilitic posterior placoid chorioretinitis
IVTA,ASPPC
triamcinolone acetonide,ASPPC
IVTA,severe chorioretinitis
aspirin,intratumoral hemorrhage
aspirin,Hemorrhage
aspirin,enlargement of spontaneous hemorrhage
rituximab,Acute coronary syndromes
rituximab,acute coronary syndrome
acenocoumarol,laryngeal hematoma
econazole,laryngeal hematoma
acenocoumarol,Laryngeal dyspnea
econazole,Laryngeal dyspnea
methylprednisolone,Adrenal suppression in a fetus
methylprednisolone,adrenal suppression
disodium cromoglycate,moderately severe bronchospasm
disodium cromoglycate,urticarial rash
disodium cromoglycate,Asthma
disodium cromoglycate,urticaria
DSCG,urticaria
propranolol,atrioventricular block
propranolol,syncope
Olanzapine,hyperglycaemic coma
leflunomide,allergic skin reactions
leflunomide,alopecia
leflunomide,diarrhea
leflunomide,hypertension
leflunomide,liver enzyme elevation
leflunomide,nausea
Leflunomide,toxic epidermal necrolysis
Etanercept,mediastinal lymphadenopathy
Etanercept,pleurisy
Etanercept,thymic enlargement
Etanercept,thymic hyperplasia
Oxcarbazepine,DRESS
Oxcarbazepine,Drug Reaction with Eosinophilia and Systemic Symptoms
oxcarbazepine,severe rash
Partusisten,supraventricular tachycardia
erlotinib,Rosaceiform eruption
methotrexate,anaphylaxis
methotrexate,anaphylactic/anaphylactoid reaction
diltiazem,fever
diltiazem hydrochloride,fever
Adriamycin,congestive heart failure
adriamycin,cardiotoxicity
Carbamazepine,Diabetes mellitus
aripiprazole,unusual weight fluctuation
mianserin,unusual weight fluctuation
heparin,venous thromboembolism
tacrolimus,progressive liver failure
tacrolimus,severe hepatocellular necrosis
posaconazole,enterococcal peritonitis
triamcinolone,Iatrogenic Cushing syndrome
triamcinolone,Cushing syndrome
flunitrazepam,acute ischaemia of the left leg
flunitrazepam,Acute ischaemia of the leg
